,negativo_score
amassadas,0.00021892624088204227
recebi apenas um dos,0.00021868391967226627
das quatro,0.00021785004989562754
estou esperando produto,0.00021722847747810296
comprei um produto recebi,0.0002230378649755531
estou sem,0.00022315371877945113
ou meu dinheiro de,0.00022178243057988304
sobre atraso,0.0002291383100605206
falta uma parte da,0.00021502686394484627
recebi produto que comprei,0.00022312088096364661
produto não recebido,0.00021452701398082887
uma falta de respeito,0.00022520740704027779
aonde,0.00022302012210723474
não recebi produto estou,0.000220410660530336
de plástico,0.000357202404286689
péssima loja,0.00021273582292835995
tubos,0.0002125050939610784
não recebi minha encomenda,0.0002193511326466797
produto estou aguardando,0.0002181419720410721
prefiro,0.00024806211959071153
recebi apenas duas,0.00021137161940168374
estou no aguardo do,0.00023808916229873587
estou muito chateada,0.0002092026539510288
mouse,0.0002525813194679634
um kit com,0.0002089382110181972
produto não tem,0.00024574562605042007
entrega errada,0.00020720840753211915
produto foi entregue porém,0.00020716739467526994
mais de 30 dias,0.00021545563246198304
de nada,0.00020707809597259416
em contato com loja,0.0002459578192932351
de respeito com consumidor,0.00020703656112327503
não consigo contato com,0.00020700099766054092
ficando,0.00022641269367389401
nada de chegar,0.00021569801718954157
comprei duas unidades só,0.00020650621789158142
12 17,0.0002113668008321695
imediatamente,0.0002307871510025993
eu não recebi produto,0.00021314136945151192
pedindo,0.0002272896106420021
está quebrado,0.00020564901725146924
peças não,0.00021279179832869424
pra receber,0.00022962707234620497
original recebi,0.00020504494218152324
falta de compromisso,0.0002046596263750331
mais de 20 dias,0.00020465828059631252
problema não,0.00021918652201382698
dentro da caixa,0.0002607585003349077
qdo,0.00023309398341808706
foi entregue apenas uma,0.00020393904314142187
mais rápido possível,0.0002166713188266605
recebi somente unidade,0.00020388284931319566
compra foi cancelada,0.00020372606591740656
devolucao do,0.00020357841186102128
por email,0.0002415254714546049
vieram apenas,0.00020170400929915696
que não foi entregue,0.00021489860687366725
dois produtos só recebi,0.00020049927504775845
que loja,0.0002548922000849632
produto inferior ao,0.00020032033230770583
01 2018,0.00023165647415418275
pedido um,0.00019978518820855994
só recebi 01,0.0002054533759532495
estou tentando entrar em,0.0001984511367574497
queen,0.00021441724736829268
não tenho como avaliar,0.00022147253286840777
de respeito com cliente,0.00019771407679486386
está demorando muito,0.00019724143671740726
ninguém entrou em contato,0.00019717493252808868
estou muito insatisfeita,0.00019673996668478105
produto até agora não,0.00020647074305383235
estou no aguardo da,0.00021883700562803872
comprei quatro,0.00023299796907144172
fora da,0.00021536969147266705
eu estou tentando cancelar,0.00019574077709782044
estou tentando cancelar faz,0.00019574077709782044
faz tempo devido valor,0.00019574077709782044
do frete muito abusivo,0.00019574077709782044
devido valor do frete,0.00019574077709782044
tempo devido valor do,0.00019574077709782044
cancelar faz tempo devido,0.00019574077709782044
tentando cancelar faz tempo,0.00019574077709782044
creme,0.0003518783018324971
uma replica,0.0001952072282230129
produto não chegou ainda,0.00020796736225586342
mas na verdade,0.0002140137928614203
eu recebi produto,0.00023672899590609936
não entrou em contato,0.00019429733414871937
demorou muito entrega,0.00021382434980432954
cadeira veio,0.00020812662710346052
só me enviaram,0.00019344291366920946
pra mim,0.0003687295873050247
não tive nenhum retorno,0.0001932954898045565
passou do prazo de,0.00019321640751589902
produtos recebi apenas um,0.00019318186968913826
produto ruim,0.00019314920252830152
sem retorno,0.00019304095593046142
apos,0.00023435154174822437
capa não,0.00021438659629621022
não gostei da qualidade,0.00019950307817744026
manchado,0.00019755749867588843
de celular,0.00022493608821544072
faltou uma,0.00022496495733817395
não recebi produto correto,0.00019054619408816558
não recomendo ninguém,0.00019026914516583036
detestei,0.00019025030542314794
não recebi produto comprado,0.00019010173537535637
uma réplica,0.00019681020004014293
não deu certo,0.00020118568672421628
não obtive nenhuma resposta,0.00019986815451878188
de péssima qualidade não,0.0001893028783659407
com quem,0.00019586858154293314
porém na,0.00020002712175833004
pois não recebi produto,0.00018874907358780815
um produto veio outro,0.0001887072508743082
comprei duas unidades do,0.00018841615485866442
peso,0.0002611849138560007
não cabe,0.00021249375007605738
dentro do prazo porém,0.00021965542238167618
está em atraso,0.00019519638232873165
apareceu,0.0002112921331411851
prazo de entrega não,0.00019478740417808
cabo de,0.0002444563805764413
onde está,0.00018673837355028485
demorou muito para chegar,0.00019807444503535475
relógio não,0.00022473591153415997
entrega nao,0.00023645306498477854
não me enviaram,0.00018629735095350276
valor do frete muito,0.00021831276336978459
querro estormo,0.0001857227972945397
um até,0.0001856245797379169
me entregaram outro,0.00018524647624047343
não gruda muito,0.00018522173182265026
transparente,0.0002712128223772969
pedido entregue incompleto,0.0001847777917881598
comprei dois produtos recebi,0.00018467848264985085
produto avariado,0.00018445366084894548
não cumpriu com,0.0001841002338901128
não recebi produto já,0.00018399903860309233
veio totalmente,0.0001910066596158421
entregue porém não recebi,0.00018363504676789967
não recebi nem,0.00018349265802643285
so recebi uma,0.00019593881895644803
sem produto,0.00018312895416341444
comprei produtos recebi apenas,0.0001824386082776374
não chegou no prazo,0.0002053974356931484
não foi enviado,0.00020302414805163202
não foi entregue no,0.0002254744108342695
aguardo providências,0.0001818625146777368
informações sobre,0.00021873466468530522
antes do prazo mas,0.0002719609841007018
eu ainda não recebi,0.00019363923389176604
duas unidades recebi apenas,0.00018102979207731387
veio na cor errada,0.0001856201539486357
são dois,0.00018025904540827872
péssima entrega,0.00017999595037697453
já abri,0.00017996924235660187
quero saber como,0.00017990739714985254
produto péssimo,0.00021054255975297547
notícias,0.00017974267898665207
pq não,0.00021929723682637028
duas peças,0.0002194333255363769
tinta preta,0.00019266930553550143
chegou todo,0.0001908631516999769
na nota veio,0.00017945320298737782
outro kit,0.00017922641322952392
ainda nem,0.000179050027657634
devolução do meu dinheiro,0.0001786944393528038
até presente data não,0.00018498149627551127
odiei,0.00017808988375658436
mal acabado,0.00018610068446987298
merda,0.0001768662418826214
dentro do prazo mas,0.00024282339154119929
comprei duas luminárias,0.00017661988531486386
material do produto,0.00021068277342720944
aguardo de um retorno,0.0001764277178929649
comprei nao,0.0001892337778201397
paguei duas,0.00017617666301561038
varão,0.00018943859574792527
preciso do produto,0.0001758592474134952
dificuldade na entrega,0.00017581889152257273
so veio uma,0.00017572240928203208
diferente do que foi,0.00017565100462795416
dos produtos que comprei,0.0001755603113898851
qualidade muito ruim,0.00017532788514610384
não tem como avaliar,0.00017506242736174693
quando chegar,0.00017498037714688632
abri reclamação,0.0001748344412893727
estou aguardando solução,0.00017461804714894222
caso não,0.00018251906022715317
recebi meu produto não,0.00017434206209388049
produto relógio,0.00017411801664337533
dia ainda não recebi,0.00017393416715321728
agora não recebi meu,0.00017373103626372205
não respondem,0.0001735503263606606
zíper,0.00021453874000747648
bebe conforto,0.0001730482985434687
quando eu,0.00019833092964052733
resposta de,0.00017871073524571774
meu produto veio com,0.00020240784092190808
somente 02,0.00017254420670909546
diferente do produto,0.00017785287972980004
unidades do produto só,0.00017204357646975204
entrega ainda não recebi,0.0001799189083124394
por cadeiras entregaram apenas,0.0001715153532435499
paguei por cadeiras entregaram,0.0001715153532435499
recebi um dos produtos,0.00018832887071463391
produto quebrado,0.0001713824546589211
chegou outro,0.00020133609790247878
recebi produto diferente do,0.00017117132212118088
paraguai,0.00017102353575075002
fosse melhor,0.0001925577024555129
atualização,0.00021585441572680796
média,0.00023323756953682733
já expirou,0.00017038567855987154
acabamento ruim,0.00018440151515767593
ainda estou aguardando entrega,0.0001701374305721906
skate,0.00019870719544689067
que ocorreu,0.00018542715922713194
estou aguardando uma resposta,0.0001697561715112364
preto veio,0.00019386993625928193
da outra,0.00016937379620000808
mercadoria não foi entregue,0.00016928667746494367
não chegou nada,0.0001688339635248601
no pacote,0.0001848979783331167
só me foi entregue,0.00016849769724068853
são paulo,0.000185598443716347
comprei um controle,0.00016829907480576427
falta dois,0.00016828601142596152
fiz uma compra de,0.00017383163396279266
ainda nao recebi meu,0.0001676403606133044
recebi meu produto nem,0.00016756330274856005
pedi um produto,0.00016727036945745225
mas até agora nada,0.00016710131119415482
consigo entrar em contato,0.00016705814748353432
comum,0.00018853912802612596
porém não recebi nada,0.0001666574332573823
credibilidade,0.00018145201871302478
de outra marca,0.0001731742200329135
cobrando,0.00017899656296351663
produto faltando,0.000165733718311394
comprei duas cadeiras,0.00016564367735223464
pela foto,0.00019476655277431864
até momento produto não,0.00016560952755710712
atendem,0.00017929484665010883
produto que eu comprei,0.00016510666042547387
ainda estou esperando,0.00021594848395640667
bom dia ainda não,0.0001803764565479826
demora demais,0.00017640933247407107
unidades recebi apenas uma,0.00016468071552576128
2016,0.0001920350404236523
entraram em contato para,0.00016428977132729405
material não,0.00020264241881520705
presente data não recebi,0.0001638391271631875
comprei um relógio,0.00018502507878945753
foto do produto,0.00018289263852067233
eu vou,0.00017208959581552832
das três,0.00016917711991691403
já passou prazo de,0.00016364362537776703
de 02,0.0001719192523067293
me entregaram apenas,0.00016319426597591823
nao gostei do produto,0.00016316902529749441
agora como,0.00016314773653222417
fiz cancelamento,0.00016914631720229775
entregar produto,0.00023311275090075892
produto enviado,0.00025483304673012833
indignada,0.00016207393415306978
de saber quando vai,0.00016192789280752262
solicito providências,0.0001616035508331003
produto não está,0.00016156438752598792
um produto diferente do,0.0001680403281179972
nao recebi minha,0.00016147567457209215
frágeis,0.00017497595883174624
esteira,0.0001745278959903412
cartucho não,0.0001610140992406578
fiz compra de duas,0.00017398310882057796
cancelar pedido,0.00018054404585515278
produto vendido,0.00016065380492616895
na entrega não,0.00016050414292141736
recebi só uma,0.00017532373156454447
grave,0.00016021460193970974
modelo diferente,0.0001602039491350804
uma mercadoria,0.00016558290299220358
se vai,0.00015951410315940645
produto mas não,0.00017268870828939507
era uma,0.00017377236614703377
não dão,0.0001722684186256027
não recebi ainda produto,0.00015907630210776396
para entrega do produto,0.0001588833856850459
nem mesmo,0.00016629523949587103
nenhuma explicação,0.00015886898570458645
cancelei produto,0.00015877627757490074
comprei um modelo,0.00015864489234027157
chegar meu,0.00015848167538307523
nem satisfação,0.00015835508767341364
uma capinha,0.00017883829757341639
taças,0.00015822506576838036
um produto original,0.00015819516539184746
versão,0.00015815914103681398
presente de natal,0.0001894264329998078
pecas,0.00015805130406831267
já que,0.000225459383870968
paguei produto,0.00016622339552705253
difícil de,0.0001899361047196857
cx,0.00017070893117187894
não estou conseguindo,0.0001853195812074882
sendo que na nota,0.0001573946770901603
comprei duas capas,0.0001572840775780022
duas das,0.0001572158572624955
na cor branca,0.00016492784743002333
na mesma loja,0.00015694702653650994
pelo atraso,0.000156829528450769
irá,0.00018608864196321268
na descrição do produto,0.0002502859949198818
veio outra,0.00018578691933026105
bonito mas,0.00022499393946817146
outra unidade,0.00015641427970425873
demora para entrega,0.00015640061172050122
não parece,0.00016645169806086383
relogios,0.00019239010940066444
que relógio,0.00017459708221815494
deve ter,0.00020212446771986496
recebi item,0.0001561462017550873
de cartuchos,0.00015608548886769275
preciso resolver,0.00015606242293092333
preciso trocar,0.00017662855564493378
recebi produto até agora,0.00015593769134635317
não chegou produto,0.0001558409397543603
recebi cortina,0.00016726199925948005
eu fiz pedido de,0.00015560077384281149
na pintura,0.0001621325872178666
ainda recebi,0.0001884008039020442
só quero,0.00015532194407542123
não respondeu,0.0001553031173573092
paralelo,0.00017430997986708562
solicito cancelamento,0.0001550452960250506
até presente momento não,0.00016858417301908056
película não,0.00021294259228979445
mop,0.00015495942673202185
vergonhoso,0.00016325349905911828
produto foi entregue com,0.00017754492385637177
tô aguardando,0.00015462673925712835
no valor de,0.00016233483437992174
ducha,0.00016867448302874746
cadeiras chegou,0.0001544494726474045
veio errada,0.00022025107865814922
recebi entrega,0.00016263460957092134
entrar em contato para,0.00016704212276088344
recebemos somente,0.0001539873874029109
que produto era,0.00016011563404922928
que mesmo,0.00020424349317365806
vazia,0.0001533711144262907
troca não,0.00015326078529078355
medio,0.00015322900261202668
algo que não,0.00015304975666409395
foram pedidos,0.00015303823635712968
me enviaram produto,0.00015292412160274938
não recebi quero,0.00015289240363068222
de onde,0.00016884799270226565
só recebi as,0.00015269244951540708
apenas chegou,0.00016868528785015998
passei,0.0001925254736243558
sem qualidade,0.00016441633448761886
até hoje nada,0.00015214516225289925
jamais,0.00016121192329890475
que buscar nos correios,0.0001788827370616242
no local,0.00016424173902496498
nao recebi produto ainda,0.00015193065074243318
paguei não recebi,0.00015185924462209318
meu produto está,0.0001516200733649745
dupla,0.00017649518188939388
da situação,0.0001513827660416265
produto de má qualidade,0.00015120194337120638
produto mal,0.00016272534673177893
produto totalmente diferente do,0.00015078828868053765
de plastico,0.00017812456127010842
não foi resolvida questão,0.00015048190421938283
unidades recebi somente ainda,0.00015048190421938283
recebi somente ainda não,0.00015048190421938283
14 unidades recebi somente,0.00015048190421938283
ainda não foi resolvida,0.00015048190421938283
somente ainda não foi,0.00015048190421938283
comprei 14 unidades recebi,0.00015048190421938283
suporte para,0.0001664836770128538
com site,0.00018782291924387712
que produto foi entregue,0.00016846173232514086
produto não recomendo,0.00016414681362752107
só recebi um produto,0.00015012575072733861
até momento recebi apenas,0.00014991394482641665
quase mês,0.00022590800933072828
de atraso na entrega,0.00014981116613595416
de meses,0.00017160337136437707
pra ninguém,0.000149677780310646
produto agora,0.00014957020852538911
os lençóis,0.0001492248348002437
de receber produto,0.00019397568246691898
fornecedor não,0.0001491085440721219
totalmente errado,0.00014906625249846072
até agora não tive,0.00018669529637957218
nao recebi produto nem,0.00014898278441110408
estou aguardando outro,0.00015923741187392725
não teve,0.00015725199922027864
esta como,0.00014859797499765627
chupeta,0.00014847091260677272
minha reclamação,0.00014831100773463586
diferente do solicitado,0.00014801360427717106
vendem,0.00015846694940173554
produto está com,0.00014785085119818322
tem muita,0.0001478224423397976
diferente do que eu,0.0001544886818950211
não entregaram os,0.00014772119880244837
meu produto que,0.00016761536105130092
não foi entregue quero,0.00014752391958679535
estou aguardando meu produto,0.0001475143724460627
não vieram,0.00020175908768347837
genérico,0.00014742816030291874
compra já,0.00016870086488865308
produto de pessima qualidade,0.0001472301872571753
um pneu,0.00014687149009574152
do fornecedor,0.00021017177035694652
na agência dos correios,0.00015935530766647733
qualidade do produto não,0.00014670781193800236
no cartão de crédito,0.00014670471722338975
estava quebrado,0.00014667203483847776
chegou as,0.00014643373982099953
nada até agora,0.0001464331055513413
portas,0.00015588052122388714
não tive nenhuma resposta,0.00014610655774650443
mas veio com,0.00019279068954140968
comprei unidades recebi apenas,0.00014597073854824804
meu produto nao foi,0.0001459283019462012
encomendados,0.00014575867126440927
nao era,0.0001457046751748926
sem opinião,0.0002271974239628358
caneleira,0.00014558709333752244
email não,0.00015150606859017118
muito pequena,0.00015476569448782403
estou espera do,0.0001450456187519454
um dois,0.00014502849004699412
uma bosta,0.000152881793768071
aguardo produto,0.00017416820656864524
esta faltando uma,0.0001449381092656427
todo quebrado,0.00014479668763417612
como devo proceder para,0.0001564071921736643
desapontado,0.0001445723143473458
não recebi este,0.0001445217106941638
não recebi produto no,0.0001513508446577556
com defeitos,0.00014425220632299454
aguardando receber,0.00014424220302681792
retorno para,0.00015620501234374086
com as lojas lannister,0.00015557897288701614
solda,0.00014406950949734512
não recebi relógio,0.00014405139489823463
to esperando,0.00015196553173157706
comprei um produto me,0.00014400059403704734
presente de aniversário,0.0001439888476387051
mais agilidade,0.00015505026802953352
vidro de,0.00014385570836289528
produtos só chegou,0.0001436914941406166
uma nota fiscal,0.00015105113501265102
muita demora para,0.00014345267204143966
para instalação,0.0001647909088379052
totalidade da,0.00014327538063335838
postar,0.0001599358878683413
uma mochila,0.00020941079709579002
colágeno,0.00014259375101650286
recebi um produto diferente,0.00015765173877337074
mas comprei,0.00018351104159637006
desapontada,0.0001425505847896552
sem funcionar,0.00014922671909098378
de retorno,0.0001423622232057721
me entregaram somente,0.00014229904640985645
um controle remoto,0.00014227209004949196
péssima compra,0.00014222203911255007
outro totalmente diferente,0.00015306221186881845
no site diz que,0.00014210654065474675
dois pneus,0.00014198265574652094
não veio como,0.00014182833299019335
código de rastreamento,0.00018113536867257792
prazo de entrega era,0.00014651338683963514
perto,0.00017083793864784924
uma garrafa,0.0001525145176088624
do aparelho,0.00019825485577832773
espuma,0.00015353198342627798
veio só uma,0.00014958288033500072
produto não veio conforme,0.0001512986944642295
para resolver problema,0.00014080968186924785
faltou um produto,0.00018843287415751782
cada uma,0.00014578375545272514
falta não,0.00014073874844864841
para ar condicionado,0.00014073761486143075
ao invés de,0.00019910157911264911
com elástico,0.00014661678454419235
mas não chegou,0.0001481437473137686
enchimento,0.00014718807573328341
produto demora,0.00014035024704732983
reembolsado,0.0001403449457440864
relógio veio com,0.00014031830570301957
avaliar loja,0.00014025274813179675
aparelho não,0.00015225022977043221
nao consegui,0.00014023407567984267
minutos,0.0001484129769379161
de entregar,0.00019959827540138504
foi entregue um produto,0.0001395527350687422
não recebi produto completo,0.00013948748179028973
mas quando,0.00019133789069717997
que comprei paguei,0.00013934497868924012
gostei da qualidade do,0.00015220976925431855
apenas produto,0.0001391992426027825
alicate,0.00013907822467670167
não foi entregue na,0.00016442381022736238
continuo no aguardo,0.00014679151877495074
eu avalio,0.0001384308642151775
eu cancelei,0.00016591577586694156
por um produto,0.0001548621003678612
produto ate agora,0.00013834289362275062
acompanhando,0.000138324499245737
compra no site,0.00017913726359350374
produto não chegou no,0.0001382379437863433
deixa muito desejar,0.00013820359438620415
deu satisfação,0.00013813856079234976
produto indisponível,0.00013812281369843528
chegou amassado,0.00014597452902729866
mais ou menos,0.00015503781390785077
produto nada,0.00016273216561877988
paguei pelo frete,0.00015572037976724164
mesmo assim me,0.00013760107161544244
infelizmente nao,0.00013734602960889053
mosqueteiros,0.00013718820440188043
entrega parcial,0.00013718248843743336
motivo do atraso,0.00014664707852294161
bom dia não,0.0001445536730402271
kit veio,0.00014728097058614982
produto ficou,0.0002132940671422551
perdido,0.00016666248975192034
chegou errado,0.00013665419920863732
dois pedidos,0.00014591123245357872
as cores,0.0002469753640645855
compativel,0.0001364965408399783
veja,0.000145074884297839
so recebi estou,0.00013641749411643506
pequenas,0.00018955733540915762
um dos produtos não,0.00013635961063471587
formato,0.00016199943595256546
sobre produto,0.00030315214851610816
veio mas,0.00013619431457553952
recebi apenas uma unidade,0.00013613041470473823
esta demorando muito,0.0001361110315748501
receber outra,0.00014964229502462988
comprei fones,0.00013574471792304592
de couro,0.00016619061742716263
veio sem embalagem,0.00013566918928103002
eu encomendei,0.0001623738897380058
dois produtos veio,0.00013535526444742883
vazando,0.00020375928371964798
falsificado não,0.00014148949090715663
comprei unidades chegou,0.00013522178652177608
produto muito inferior,0.00015325715860104111
não funciona não,0.0001347856245370236
porque ainda não,0.00013474329122855667
estou bem chateada,0.00013468803006876646
até momento não tive,0.00013466618335251327
dessa loja,0.00020591882899929827
entregaram somente um,0.00013457924024134989
muito menos,0.00014764679105092876
produto muito fraco,0.0001548322097433037
itens porém,0.00013444180038254977
adquirido não,0.00013433845239122633
preço cobrado,0.0001342916564938067
bom dia recebi,0.00013425204039515132
porém veio com,0.0001342350217409473
fiz pedido de produtos,0.00013416737687629092
tentei cancelar,0.00014164205679782904
prazo de entrega ainda,0.0001338992392305581
fora de,0.00015713510942511456
saber quando vai ser,0.0001336823373002775
de outro modelo,0.00013366290053699125
na propaganda,0.00015651030913629654
frágil não,0.00014667215874777923
para presentear,0.00018060109576052406
que na nota fiscal,0.00014687315725482356
whey protein,0.00013331594125047885
fiz pedido de duas,0.00014615844908684846
número de,0.00014671222142951412
dois entregaram,0.0001331593093963494
ocorrência,0.0001461746125208962
2017 até,0.00013314574016744582
compra em,0.00016873723148656144
meu cartão de crédito,0.00013305901459060993
de luminária,0.00013293748610894562
não comprarei mais,0.00014189163084768404
faltou protetor de colchao,0.00013282909484782865
pedido foi entregue parcialmente,0.00013270132734458716
produto veio avariado,0.0001326856149878489
no aguardo de uma,0.00013264432569594893
tapete não,0.00013246849645745634
gostaria de devolver,0.00014782424464828485
em pé,0.00013982675243798842
não confiável,0.00013242745238376986
produtos veio só,0.0001323511766027623
toner hp,0.00013234847171116653
não vai,0.00015285819454524644
nem resposta,0.00013232218081533803
recebi produto até hoje,0.00013849203810711698
modelo que,0.00014655111952131524
bicicleta,0.00016283179356653396
somente toner,0.00013189479437860193
quantidade errada,0.00013180534311483825
entregues as,0.00013175426115988057
motivo da,0.00013173320109428132
mandaram produto,0.0001317211715328557
na empresa,0.00013772164578306617
que ela,0.00015211276813465667
caixa veio,0.0002293128988255447
que mercadoria,0.0001434434979431725
unidades só chegou uma,0.0001314448079531276
momento produto não foi,0.0001314155572265957
somente agora,0.00013138434304163724
do produto foi entregue,0.00013900515622433958
foi comprada,0.00014609928241967696
não deveria,0.00016000362535543254
conprei,0.0001310025262265901
produto não chegou não,0.0001309551850428024
fiz um pedido de,0.00015075952290515354
mensagem de,0.00013973543266007244
quando receberei,0.00013799206068541378
saber sobre,0.00013802829998989496
só recebi um item,0.00013080092366053243
descascando,0.00014143175304793482
atraso dos correios,0.00014779517273374876
presente momento não recebi,0.0001304995367991467
veio incorreto,0.00013048723232138835
produto ainda não entregue,0.00013041966427526118
um lustre,0.00013800183452376274
dificultando,0.00013029964305664359
meu pedido não foi,0.0001403575015757737
um dos cartuchos,0.00013023460675622012
não recebi resposta,0.0001301895574661544
incompletos,0.00013018543930875436
não recebi que comprei,0.000130131255382876
comprei não recebi,0.00014207396575888578
pois produto veio,0.00013531525226178744
recebi um cartucho,0.0001300069173749526
vez não recebi,0.00012988901015017457
que eram,0.0001411952826283348
não chegou em minha,0.00013782651253653217
orientações,0.0001297814184897963
falta de atenção,0.00012977693080036383
parcelas,0.00014421046936509906
não muito bom,0.00015297522255858212
não recebi até agora,0.00012961711315500016
produto diferente do anunciado,0.00013660995518151317
pedido entregue porém não,0.0001295820434549701
site acusa pedido entregue,0.0001295820434549701
acusa pedido entregue porém,0.0001295820434549701
faltaram duas,0.0001295266863317561
compra foi feita,0.00014711002115006777
capa veio,0.0001414740158360455
foi entregue mercadoria,0.00012948267185198536
pensar,0.00013613574060918212
meu produto veio errado,0.0001460927380308302
nao recebi ainda,0.0001294174795209024
produto não bom,0.0001374086989094566
produto pago,0.00012922853203062304
qual eu,0.00013521486178678333
produto uma,0.0001736075053793155
com cabo,0.000138610888361006
mas so recebi,0.00014241256412259775
ruim com,0.0001288431223646602
descaso total,0.00012870705643075917
deveria dar,0.00012868042572573656
uma resposta sobre,0.0001286196398187334
so chegou um,0.00014651272773864662
chegou em minha residência,0.00013642423157204063
produto não chegou até,0.00012849026941348768
diferente do pedido,0.00012825660318334053
produto usado,0.0001345338442754264
comprei dia,0.00016056898070000692
outro pois,0.000128119859650461
costuras,0.00015255611344878247
